title,description,category,start,end,location,isImportant
대선후보 출마 기자회견,사회대전환 대선 연대회의 대선후보 출마 기자회견,candidate,20250501 11:10:00,20250501 12:10:00,광화문,TRUE
OBS 뉴스 오늘 출연,OBS 뉴스 오늘 출연,media,20250501 15:30:00,20250501 16:30:00,OBS,flase
탈시설 종탑 농성장 지지방문,혜화동 성당 종탑 위에서 탈시설 권리를 요구하고 있는 활동가 지지방문,candidate,20250501 12:10:00,20250501 13:10:00,혜화동성당,TRUE
거제·통영·고성 조선하청지회 철탑 농성장 지지방문,30m 높이의 철탑 위에서 입단협 체결을 요구하고 있는 김형수 '전국금속노동조합 거제·통영·고성 조선하청지회' 지회장 지지방문,candidate,20250501 13:10:00,20250501 14:10:00,한화빌딩,TRUE
거제·통영·고성 조선하청지회 천막 농성장 지지방문,전국금속노동조합 거제·통영·고성 조선하청지회' 천막농성장 지지방문,candidate,20250501 14:10:00,20250501 14:30:00,한화빌딩,TRUE
제21대 대통령선거 정책토론회,,media,20250502 10:00:00,20250502 12:00:00,KBS 스튜디오,flase
아시아경제 인터뷰,,media,20250502 14:30:00,20250502 15:30:00,아시아경제,flase
모란공원 참배,선거대책위원회 모란공원 참배,candidate,20250504 11:00:00,20250504 12:00:00,마석 모란공원,flase
종탑 농성 활동가 병원 면회,"혜화동 성당 종탑에서 건강문제로 내려온 박초현, 민푸름, 이학인 활동가 병원 면회",candidate,20250502 19:00:00,20250502 20:00:00,국립중앙의료원,TRUE
종탑 농성 활동가 석방 촉구 및 접견 요구,"혜화동 성당 종탑에서 건강문제로 내려온 박초현, 민푸름, 이학인 활동가 체포 항의",candidate,20250504 20:00:00,20250504 21:00:00,동대문경찰서,TRUE
법요식 전 대통령 예비후보 사전 차담회,,candidate,20250505 09:25:00,20250505 10:00:00,조계사,flase
불기2569년 부처님오신날 법요식,"불기 2569년 부처님오신날을 맞아 조계사에서 진행된 법요식에서 전국장애인부모연대, 전세사기대책위원회 그리고 한국옵티칼하이테크지회 구성원 분들과 인사를 드렸습니다.",candidate,20250505 10:00:00,20250505 11:00:00,조계사,flase
공공운수노조 전국물류센터지부 조합원-간부 간담회,,candidate,20250505 14:40:00,20250505 15:40:00,국제청소년센터 유스호스텔,TRUE
국립5.18민주묘지 참배,,candidate,20250506 10:30:00,20250506 11:00:00,국립5.18민주묘지,TRUE
광주?전남 기자회견,,media,20250506 11:00:00,20250506 12:00:00,국립5.18민주묘지 민주의문,flase
이철규 열사 추모식,,candidate,20250506 12:00:00,20250506 12:30:00,민족민주열사묘역,TRUE
호남유가협 어버이날 행사,,candidate,20250506 12:40:00,20250506 13:40:00,민족민주열사묘역,TRUE
'평등정책위원회' 간담회,,candidate,20250506 19:00:00,20250506 20:00:00,민주노동당 중앙당사,flase
